iter	Passed	Remaining
276	1474	3848
277	1478	3840
278	1483	3832
279	1488	3827
280	1493	3820
281	1497	3812
282	1502	3806
283	1507	3800
284	1512	3793
285	1517	3787
286	1522	3782
287	1527	3775
288	1532	3769
289	1538	3765
290	1543	3759
291	1548	3753
292	1554	3751
293	1558	3743
294	1563	3736
295	1568	3730
296	1574	3725
297	1578	3718
298	1583	3712
299	1587	3704
300	1592	3697
301	1596	3689
302	1601	3684
303	1605	3676
304	1610	3670
305	1616	3667
306	1621	3659
307	1625	3651
308	1630	3645
309	1635	3641
310	1642	3639
311	1648	3634
312	1653	3629
313	1658	3622
314	1662	3615
315	1667	3608
316	1671	3602
317	1676	3594
318	1680	3588
319	1684	3580
320	1689	3573
321	1693	3566
322	1698	3560
323	1703	3553
324	1707	3546
325	1712	3539
326	1716	3532
327	1725	3535
328	1730	3528
329	1734	3522
330	1739	3515
331	1745	3512
332	1749	3505
333	1758	3506
334	1765	3504
335	1771	3500
336	1777	3497
337	1782	3490
338	1786	3483
339	1792	3479
340	1796	3472
341	1801	3465
342	1805	3458
343	1809	3451
344	1814	3444
345	1818	3436
346	1823	3431
347	1827	3424
348	1832	3417
349	1836	3411
350	1842	3406
351	1846	3399
352	1851	3392
353	1855	3386
354	1860	3379
355	1864	3372
356	1868	3365
357	1873	3359
358	1878	3353
359	1882	3346
360	1887	3340
361	1892	3335
362	1896	3328
363	1901	3323
364	1906	3317
365	1911	3311
366	1915	3304
367	1920	3299
368	1925	3293
369	1929	3286
370	1934	3280
371	1939	3274
372	1944	3268
373	1948	3261
374	1953	3255
375	1957	3249
376	1962	3243
377	1967	3237
378	1972	3231
379	1976	3225
380	1982	3220
381	1990	3219
382	1994	3213
383	1999	3207
384	2003	3201
385	2008	3195
386	2013	3189
387	2017	3182
388	2022	3176
389	2026	3169
390	2030	3163
391	2036	3158
392	2040	3152
393	2045	3145
394	2049	3139
395	2053	3132
396	2058	3126
397	2065	3123
398	2069	3117
399	2074	3111
400	2079	3105
401	2084	3100
402	2088	3094
403	2094	3089
404	2098	3083
405	2103	3077
406	2107	3070
407	2112	3064
408	2116	3058
409	2120	3052
410	2126	3046
411	2131	3041
412	2135	3035
413	2139	3028
414	2144	3022
415	2149	3017
416	2153	3011
417	2159	3006
418	2163	3000
419	2168	2994
420	2172	2988
421	2178	2983
422	2182	2977
423	2187	2971
424	2193	2967
425	2198	2961
426	2202	2955
427	2206	2949
428	2211	2943
429	2215	2937
430	2220	2931
431	2225	2926
432	2230	2920
433	2234	2914
434	2239	2908
435	2244	2902
436	2248	2896
437	2252	2890
438	2257	2885
439	2262	2879
440	2267	2873
441	2271	2868
442	2276	2862
443	2281	2857
444	2285	2850
445	2290	2844
446	2294	2838
447	2298	2832
448	2302	2825
449	2307	2820
450	2311	2813
451	2315	2807
452	2320	2801
453	2325	2796
454	2330	2791
455	2334	2784
456	2338	2779
457	2343	2773
458	2347	2767
459	2353	2762
460	2357	2756
461	2362	2750
462	2366	2744
463	2372	2740
464	2376	2734
465	2380	2728
466	2385	2722
467	2390	2717
468	2405	2723
469	2409	2717
470	2414	2711
471	2419	2706
472	2424	2700
473	2429	2695
474	2434	2691
475	2439	2685
476	2444	2680
477	2449	2675
478	2456	2672
479	2461	2666
480	2465	2660
481	2470	2654
482	2474	2648
483	2478	2642
484	2483	2636
485	2487	2631
486	2492	2625
487	2497	2619
488	2501	2614
489	2506	2608
490	2510	2602
491	2515	2597
492	2520	2592
493	2525	2586
494	2530	2581
495	2534	2575
496	2539	2570
497	2544	2565
498	2550	2560
499	2555	2555
500	2559	2549
501	2565	2544
502	2569	2539
503	2574	2533
504	2580	2529
505	2585	2523
506	2589	2517
507	2594	2512
508	2598	2506
509	2603	2501
510	2607	2495
511	2613	2491
512	2618	2485
513	2622	2479
514	2627	2474
515	2631	2468
516	2635	2462
517	2640	2456
518	2645	2451
519	2649	2445
520	2654	2440
521	2659	2435
522	2664	2429
523	2669	2424
524	2674	2419
525	2678	2413
526	2683	2408
527	2687	2402
528	2692	2397
529	2696	2391
530	2701	2385
531	2706	2380
532	2711	2375
533	2716	2370
534	2720	2364
535	2724	2358
536	2729	2353
537	2738	2351
538	2744	2346
539	2748	2341
540	2753	2336
541	2759	2332
542	2765	2327
543	2771	2323
544	2777	2318
545	2785	2315
546	2792	2312
547	2806	2314
548	2813	2311
549	2823	2310
550	2831	2307
551	2840	2305
552	2852	2305
553	2859	2301
554	2863	2296
555	2868	2290
556	2872	2284
557	2877	2278
558	2881	2273
559	2886	2267
560	2890	2261
561	2894	2255
562	2899	2250
563	2904	2245
564	2908	2239
565	2913	2233
566	2918	2228
567	2922	2223
568	2927	2217
569	2931	2211
570	2936	2205
571	2940	2200
572	2945	2195
573	2951	2190
574	2955	2184
575	2960	2179
576	2964	2173
577	2969	2167
578	2980	2167
579	2989	2164
580	2993	2159
581	2999	2154
582	3003	2148
583	3007	2142
584	3012	2137
585	3017	2131
586	3021	2125
587	3026	2120
588	3031	2115
589	3036	2110
590	3041	2105
591	3047	2100
592	3052	2094
593	3056	2089
594	3060	2083
595	3065	2077
596	3069	2072
597	3074	2066
598	3078	2061
599	3083	2055
600	3087	2049
601	3092	2044
602	3097	2039
603	3102	2033
604	3107	2028
605	3111	2023
606	3116	2017
607	3121	2012
608	3126	2007
609	3130	2001
610	3134	1995
611	3139	1990
612	3144	1985
613	3149	1979
614	3153	1974
615	3158	1968
616	3162	1963
617	3167	1958
618	3177	1955
619	3189	1954
620	3201	1953
621	3207	1949
622	3212	1943
623	3216	1938
624	3221	1933
625	3226	1927
626	3230	1921
627	3234	1915
628	3239	1910
629	3244	1905
630	3248	1899
631	3253	1894
632	3257	1888
633	3261	1883
634	3266	1877
635	3270	1871
636	3274	1866
637	3278	1860
638	3283	1855
639	3289	1850
640	3293	1844
641	3298	1839
642	3303	1834
643	3307	1828
644	3312	1822
645	3316	1817
646	3321	1812
647	3325	1806
648	3330	1801
649	3335	1796
650	3339	1790
651	3344	1784
652	3349	1779
653	3353	1774
654	3357	1768
655	3362	1763
656	3366	1757
657	3371	1752
658	3375	1746
659	3379	1741
660	3385	1736
661	3389	1730
662	3394	1725
663	3398	1719
664	3403	1714
665	3407	1709
666	3412	1703
667	3427	1703
668	3436	1700
669	3441	1694
670	3445	1689
671	3449	1683
672	3454	1678
673	3458	1672
674	3462	1667
675	3466	1661
676	3471	1656
677	3475	1650
678	3480	1645
679	3485	1640
680	3489	1634
681	3494	1629
682	3498	1623
683	3503	1618
684	3507	1613
685	3512	1607
686	3520	1604
687	3525	1598
688	3530	1593
689	3535	1588
690	3540	1583
691	3545	1578
692	3550	1572
693	3556	1568
694	3561	1562
695	3565	1557
696	3569	1551
697	3574	1546
698	3579	1541
699	3584	1536
700	3588	1530
701	3592	1525
702	3597	1519
703	3601	1514
704	3605	1508
705	3610	1503
706	3614	1498
707	3618	1492
708	3623	1487
709	3627	1481
710	3632	1476
711	3637	1471
712	3641	1465
713	3645	1460
714	3650	1454
715	3654	1449
716	3659	1444
717	3666	1440
718	3671	1435
719	3676	1429
720	3680	1424
721	3685	1419
722	3690	1413
723	3694	1408
724	3699	1403
725	3704	1398
726	3708	1392
727	3713	1387
728	3717	1381
729	3722	1376
730	3726	1371
731	3732	1366
732	3736	1361
733	3741	1355
734	3745	1350
735	3750	1345
736	3754	1339
737	3759	1334
738	3764	1329
739	3770	1324
740	3774	1319
741	3779	1314
742	3784	1308
743	3788	1303
744	3793	1298
745	3797	1293
746	3802	1287
747	3806	1282
748	3811	1277
749	3816	1272
750	3821	1267
751	3826	1261
752	3831	1256
753	3835	1251
754	3840	1246
755	3844	1240
756	3849	1235
757	3853	1230
758	3858	1225
759	3864	1220
760	3868	1215
761	3873	1209
762	3878	1204
763	3882	1199
764	3887	1194
765	3891	1188
766	3896	1183
767	3900	1178
768	3904	1173
769	3910	1168
770	3915	1162
771	3919	1157
772	3923	1152
773	3928	1147
774	3933	1142
775	3939	1137
776	3946	1132
777	3951	1127
778	3956	1122
779	3962	1117
780	3966	1112
781	3970	1106
782	3975	1101
783	3979	1096
784	3984	1091
785	3988	1086
786	3992	1080
787	3997	1075
788	4002	1070
789	4008	1065
790	4013	1060
791	4017	1055
792	4022	1050
793	4027	1044
794	4032	1039
795	4036	1034
796	4041	1029
797	4045	1024
798	4050	1018
799	4055	1013
800	4059	1008
801	4064	1003
802	4069	998
803	4073	993
804	4078	987
805	4082	982
806	4089	978
807	4094	973
808	4100	967
809	4104	962
810	4109	957
811	4113	952
812	4118	947
813	4122	942
814	4127	936
815	4131	931
816	4135	926
817	4140	921
818	4144	915
819	4149	910
820	4153	905
821	4158	900
822	4162	895
823	4166	890
824	4171	884
825	4175	879
826	4180	874
827	4185	869
828	4189	864
829	4194	859
830	4199	854
831	4204	848
832	4211	844
833	4215	839
834	4220	833
835	4224	828
836	4229	823
837	4234	818
838	4238	813
839	4243	808
840	4247	803
841	4252	797
842	4256	792
843	4261	787
844	4267	782
845	4279	778
846	4289	774
847	4301	771
848	4312	767
849	4325	763
850	4329	758
851	4334	752
852	4338	747
853	4344	742
854	4348	737
855	4353	732
856	4357	727
857	4361	721
858	4365	716
859	4369	711
860	4374	706
861	4378	700
862	4383	695
863	4387	690
864	4392	685
865	4396	680
866	4401	675
867	4405	670
868	4410	664
869	4414	659
870	4418	654
871	4423	649
872	4427	644
873	4431	638
874	4437	633
875	4442	628
876	4447	623
877	4452	618
878	4457	613
879	4462	608
880	4466	603
881	4471	598
882	4475	593
883	4479	587
884	4485	582
885	4489	577
886	4494	572
887	4498	567
888	4503	562
889	4507	557
890	4512	551
891	4516	546
892	4525	542
893	4534	537
894	4540	532
895	4544	527
896	4548	522
897	4553	517
898	4557	512
899	4563	507
900	4567	501
901	4571	496
902	4576	491
903	4580	486
904	4585	481
905	4589	476
906	4594	471
907	4598	465
908	4602	460
909	4606	455
910	4611	450
911	4615	445
912	4619	440
913	4624	435
914	4629	430
915	4633	424
916	4638	419
917	4644	414
918	4648	409
919	4653	404
920	4658	399
921	4662	394
922	4667	389
923	4671	384
924	4676	379
925	4682	374
926	4686	369
927	4690	363
928	4695	358
929	4703	354
930	4708	348
931	4713	343
932	4717	338
933	4722	333
934	4729	328
935	4733	323
936	4737	318
937	4742	313
938	4746	308
939	4750	303
940	4755	298
941	4761	293
942	4765	288
943	4769	282
944	4775	277
945	4779	272
946	4784	267
947	4788	262
948	4793	257
949	4797	252
950	4801	247
951	4806	242
952	4811	237
953	4816	232
954	4821	227
955	4826	222
956	4830	217
957	4835	211
958	4839	206
959	4844	201
960	4849	196
961	4853	191
962	4858	186
963	4862	181
964	4867	176
965	4872	171
966	4876	166
967	4881	161
968	4886	156
969	4891	151
970	4895	146
971	4900	141
972	4911	136
973	4916	131
974	4922	126
975	4927	121
976	4931	116
977	4935	111
978	4940	105
979	4943	100
980	4948	95
981	4953	90
982	4957	85
983	4961	80
984	4967	75
985	4973	70
986	4977	65
987	4981	60
988	4985	55
989	4989	50
990	4994	45
991	4998	40
992	5002	35
993	5006	30
994	5012	25
995	5017	20
996	5021	15
997	5026	10
998	5031	5
999	5036	0
