iter	Logloss
166	0.2235829427
167	0.2232916661
168	0.2231280222
169	0.2229417716
170	0.2227026358
171	0.222479833
172	0.2219757299
173	0.2217275643
174	0.2213085996
175	0.220977472
176	0.2206800998
177	0.2204271832
178	0.2201327412
179	0.2200077628
180	0.219779044
181	0.2195409361
182	0.2188086143
183	0.2184001759
184	0.2181695622
185	0.2180428853
186	0.2178223034
187	0.2176822626
188	0.217568031
189	0.2174428397
190	0.2172083641
191	0.2170068917
192	0.2166852347
193	0.2164299121
194	0.2162968987
195	0.216111289
196	0.2159538093
197	0.2155697001
198	0.2143039541
199	0.214165623
200	0.2138667467
201	0.2135942371
202	0.2133030994
203	0.2130853774
204	0.2128915808
205	0.2126612134
206	0.2124378587
207	0.2122512432
208	0.2118391114
209	0.2115778727
210	0.2110205176
211	0.2107981871
212	0.2105586864
213	0.2098423642
214	0.2096581141
215	0.2094671643
216	0.2092045383
217	0.2090110899
218	0.2087792945
219	0.2085915825
220	0.2083431336
221	0.207841155
222	0.207682538
223	0.2074178393
224	0.2072802305
225	0.207099107
226	0.2067029063
227	0.2064824337
228	0.2062961979
229	0.206059909
230	0.2058492995
231	0.2054569923
232	0.2052902885
233	0.2051592885
234	0.2049526299
235	0.2047141627
236	0.2045549067
237	0.2043863377
238	0.2042639617
239	0.2041046317
240	0.2040011394
241	0.2037806389
242	0.2036119347
243	0.2034375996
244	0.2030417472
245	0.2029580016
246	0.2028053082
247	0.2025477258
248	0.202363546
249	0.2021249066
250	0.2020046996
251	0.2018042034
252	0.2016325541
253	0.2014837189
254	0.2012838358
255	0.2010427217
256	0.2008618186
257	0.2004710228
258	0.2003290723
259	0.2001837286
260	0.1999432906
261	0.1997507405
262	0.1995816676
263	0.1993080022
264	0.1991404186
265	0.1990199097
266	0.1988668162
267	0.1987429918
268	0.1985439626
269	0.1982547679
270	0.1981430257
271	0.1979533744
272	0.1977830939
273	0.1975452861
274	0.1973355991
275	0.1971584227
276	0.1970711319
277	0.1969529439
278	0.1968054034
279	0.1966339467
280	0.1963676606
281	0.1962282181
282	0.1960860454
283	0.1959409665
284	0.1957927277
285	0.1955527398
286	0.1953108311
287	0.1945002575
288	0.1941871745
289	0.1933909039
290	0.1932189804
291	0.1930566034
292	0.192827992
293	0.1926578226
294	0.1923561291
295	0.1919180696
296	0.1916870076
297	0.1915415879
298	0.1909765793
299	0.1904145398
300	0.1903256784
301	0.1902138881
302	0.190034526
303	0.1898493571
304	0.1896978139
305	0.1895429755
306	0.1891520519
307	0.1890345141
308	0.1888452629
309	0.1886627131
310	0.188274729
311	0.1881402746
312	0.1879642373
313	0.1878284974
314	0.1876657999
315	0.18745477
316	0.1870495249
317	0.1868934326
318	0.1861077476
319	0.1859947773
320	0.1853650291
321	0.1852530757
322	0.185098454
323	0.1849768181
324	0.1847702938
325	0.1844960866
326	0.1843150334
327	0.1841643052
328	0.183955172
329	0.1837976997
330	0.1836510344
331	0.1835610977
332	0.1833576639
333	0.1831601137
334	0.1829705948
335	0.1826274008
336	0.182414727
337	0.1822069858
338	0.1820338139
339	0.181903477
340	0.1817681261
341	0.1815935576
342	0.1813792835
343	0.1812508424
344	0.1811019571
345	0.1809694448
346	0.1807498899
347	0.1806071708
348	0.1799407148
349	0.1797256118
350	0.1796119488
351	0.1789369048
352	0.1787362392
353	0.1785817657
354	0.1784525994
355	0.1783415175
356	0.1781828061
357	0.1780255728
358	0.1777753328
359	0.1776312041
360	0.1774368277
361	0.1773297374
362	0.1771365233
363	0.1770331375
364	0.1768610029
365	0.1762817987
366	0.1759499672
367	0.1757232433
368	0.1754335856
369	0.1753046416
370	0.1751778731
371	0.1750334452
372	0.174837575
373	0.1747072159
374	0.1745493241
375	0.17443372
376	0.1743245052
377	0.1741547331
378	0.1739085457
379	0.173464134
380	0.1732037844
381	0.1730503593
382	0.1727646348
383	0.1726290524
384	0.1725024515
385	0.172318181
386	0.172199441
387	0.1718022022
388	0.1715924373
389	0.1714768591
390	0.1713332556
391	0.1711630325
392	0.1709813199
393	0.1706499886
394	0.1704120057
395	0.1703027205
396	0.1701135999
397	0.1699387934
398	0.1697966262
399	0.1696736539
400	0.1695350264
401	0.1693959654
402	0.16921771
403	0.1690874824
404	0.1689358929
405	0.1688140912
406	0.1687449386
407	0.1685573979
408	0.1684237853
409	0.1683434692
410	0.1681934847
411	0.168110857
412	0.1675817161
413	0.1675093258
414	0.1673097529
415	0.1671236959
416	0.16686246
417	0.1667174348
418	0.1666145065
419	0.1664544143
420	0.1663247451
421	0.1662407486
422	0.1661251621
423	0.165890016
424	0.1656592615
425	0.1654936496
426	0.1654030943
427	0.1652441411
428	0.1651259698
429	0.1647943838
430	0.1646920667
431	0.1645620568
432	0.1643439069
433	0.1642629786
434	0.1640831618
435	0.1637836428
436	0.1634931405
437	0.1633802702
438	0.1632675778
439	0.1631363649
440	0.1630626974
441	0.1629573806
442	0.1627808488
443	0.1626121945
444	0.1625259253
445	0.1624049237
446	0.1619945284
447	0.1619009253
448	0.1617320941
449	0.161586955
450	0.1614603652
451	0.1613471885
452	0.1611978828
453	0.1610526501
454	0.1609064256
455	0.1608056265
456	0.1606934777
457	0.1604917239
458	0.1603979049
459	0.1602159682
460	0.160128683
461	0.1599613124
462	0.159860754
463	0.1597639891
464	0.159651067
465	0.1595258646
466	0.1594424876
467	0.159318415
468	0.1592227161
469	0.159096005
470	0.1589129078
471	0.1588218422
472	0.158675627
473	0.1585698342
474	0.1582044577
475	0.1580569033
476	0.1579584055
477	0.1578339421
478	0.1577244625
479	0.1575671226
480	0.1574892719
481	0.1571643002
482	0.1570506502
483	0.1568942736
484	0.15660138
485	0.1563819909
486	0.1562631815
487	0.1561350664
488	0.1559161635
489	0.1558073284
490	0.1556048809
491	0.1555141107
492	0.1552768391
493	0.1550051927
494	0.1549390444
495	0.1547988879
496	0.1546644436
497	0.1545770464
498	0.1544955041
499	0.1544016389
500	0.1542045193
501	0.154044728
502	0.153916224
503	0.1538072935
504	0.1534892631
505	0.153300149
506	0.1531540726
507	0.1530550637
508	0.1528798831
509	0.1526282881
510	0.1525032931
511	0.1521611076
512	0.1520044485
513	0.1518866883
514	0.1518083152
515	0.1517208337
516	0.1516431376
517	0.1514946349
518	0.1514088315
519	0.1512490708
520	0.1510794525
521	0.1509561856
522	0.1508078829
523	0.1506673725
524	0.1504347362
525	0.1502826864
526	0.1501628841
527	0.1500388782
528	0.1499186407
529	0.1496259889
530	0.1495267994
531	0.1493653513
532	0.1492368203
533	0.1491145055
534	0.1490161337
535	0.1488688757
536	0.1485902481
537	0.1485192108
538	0.1484025315
539	0.1483181025
540	0.1481390275
541	0.1480406891
542	0.1479517739
543	0.1478399465
544	0.1477250879
545	0.1475720073
546	0.1474760926
547	0.1472866839
548	0.1471745268
549	0.1470685395
550	0.1468852933
551	0.1467756747
552	0.1466543249
553	0.1465376872
554	0.1464114281
555	0.1463409316
556	0.1462649767
557	0.1461893078
558	0.1460461664
559	0.1459747457
560	0.1458382177
561	0.1457248261
562	0.1455757287
563	0.1454206709
564	0.1453386618
565	0.1452214722
566	0.145127957
567	0.1450344289
568	0.1449716359
569	0.1448510678
570	0.1447644059
571	0.1446894057
572	0.1445076709
573	0.1444265121
574	0.1443418173
575	0.1442305844
576	0.1441229172
577	0.1440394967
578	0.1439444821
579	0.1437481266
580	0.1436904144
581	0.1435781554
582	0.1434847977
583	0.1433560667
584	0.1432706227
585	0.1431944352
586	0.1430743968
587	0.142959365
588	0.1428104631
589	0.1427344109
590	0.1426414245
591	0.1425406013
592	0.1424644361
593	0.1423465898
594	0.1422576978
595	0.1421276481
596	0.1420071429
597	0.1418413578
598	0.1417269456
599	0.1416444012
600	0.1415571503
601	0.1414655837
602	0.1413907873
603	0.1412720547
604	0.1411797805
605	0.1410808086
606	0.1410128405
607	0.1408363068
608	0.1406001058
609	0.1404761833
610	0.140335973
611	0.1402231222
612	0.1401406955
613	0.1400180473
614	0.1399226845
615	0.1398588802
616	0.1397657031
617	0.1397342696
618	0.1396589342
619	0.1395629027
620	0.1395186035
621	0.1393821079
622	0.1392736386
623	0.1391490085
624	0.1390870408
625	0.1390158396
626	0.1389658512
627	0.1388862862
628	0.1387647836
629	0.1386383003
630	0.1385154845
631	0.1384939614
632	0.1384165866
633	0.1383142103
634	0.1382450994
635	0.1382024542
636	0.1381461682
637	0.1380521928
638	0.1379237859
639	0.1377978129
640	0.1376933287
641	0.13759715
642	0.1374395574
643	0.1373034461
644	0.1371949129
645	0.1370784012
646	0.1368797174
647	0.1366501123
648	0.1365577085
649	0.1364945136
650	0.1364295554
651	0.1363036417
652	0.1362278997
653	0.1360864919
654	0.1359879312
655	0.1358944976
656	0.1357974353
657	0.135694721
658	0.1356203274
659	0.1355012559
660	0.1353811582
661	0.1352983258
662	0.1352024722
663	0.1350798397
664	0.1349714131
665	0.1348882241
666	0.1347687822
667	0.1346479214
668	0.1345779815
669	0.1345039483
670	0.1344384668
671	0.134357733
672	0.134209948
673	0.1341483664
674	0.1340463642
675	0.1339621797
676	0.133883339
677	0.1338503338
678	0.1336993852
679	0.1334819974
680	0.133389363
681	0.1333038921
682	0.1331815273
683	0.1330557404
684	0.1329826462
685	0.1329120424
686	0.1328564232
687	0.1327674618
688	0.1327077093
689	0.1326333898
690	0.1325391152
691	0.1324496333
692	0.1324065806
693	0.1322727467
694	0.1322188427
695	0.1320906757
696	0.1319909046
697	0.1318964392
698	0.1317895073
699	0.1316421288
700	0.1315485238
701	0.1314920109
702	0.131385856
703	0.1312685645
704	0.1311977273
705	0.1311096021
706	0.1309997483
707	0.1309545044
708	0.1308602131
709	0.1307764565
710	0.1307272952
711	0.1306633381
712	0.1305722169
713	0.130464834
714	0.1303501125
715	0.130264223
716	0.1301806265
717	0.1300958382
718	0.1299867975
719	0.1299309764
720	0.1298493045
721	0.1297411973
722	0.1296733098
723	0.1295959776
724	0.129476218
725	0.1293700668
726	0.1292924643
727	0.1291893896
728	0.1291262124
729	0.1290461593
730	0.1289462798
731	0.1288331456
732	0.1287813485
733	0.1287093814
734	0.128583853
735	0.1284954815
736	0.1284070618
737	0.128300204
738	0.1281929368
739	0.1281252632
740	0.1280695144
741	0.1279319972
742	0.1278207459
743	0.1277082721
744	0.1276132334
745	0.1275062969
746	0.1274484244
747	0.1273312931
748	0.1272482616
749	0.127177003
750	0.127076678
751	0.1269746046
752	0.1268712836
753	0.1268182677
754	0.1267590857
755	0.1266845514
756	0.1265831336
757	0.1264941388
758	0.1264124706
759	0.1263461482
760	0.1262764622
761	0.12623289
762	0.1261530999
763	0.1260890502
764	0.1259932734
765	0.1258953453
766	0.1258232235
767	0.125741008
768	0.1256122594
769	0.1255564855
770	0.1254424021
771	0.1253596142
772	0.1253164874
773	0.1251940263
774	0.1251262897
775	0.1250678144
776	0.1250190735
777	0.1249683813
778	0.1248876336
779	0.124861592
780	0.1248192737
781	0.1247631109
782	0.1246735456
783	0.1245820142
784	0.1244745109
785	0.1244281307
786	0.1243744517
787	0.1243162996
788	0.1242215721
789	0.1241392778
790	0.1240166638
791	0.123934878
792	0.1238528078
793	0.1237448118
794	0.1236357526
795	0.1236001098
796	0.1235469171
797	0.1234942467
798	0.1234403315
799	0.1233887261
800	0.1233169619
801	0.1232405577
802	0.1231865657
803	0.1230987823
804	0.1229690215
805	0.1228964737
806	0.122844973
807	0.1227575405
808	0.1226305284
809	0.1225463625
810	0.1224524574
811	0.1223726701
812	0.1222812665
813	0.1221870409
814	0.1220670646
815	0.1219806194
816	0.1218568506
817	0.1218076291
818	0.1217337819
819	0.1216652767
820	0.1215774506
821	0.1215282587
822	0.1214796355
823	0.1213999714
824	0.1213419276
825	0.1212449469
826	0.1211999077
827	0.1210992141
828	0.1210580137
829	0.1209808807
830	0.1208943966
831	0.1207687191
832	0.1206568824
833	0.1204866695
834	0.1203984378
835	0.1203172077
836	0.120233351
837	0.1201555956
838	0.1200422105
839	0.1199607479
840	0.119857927
841	0.1198045379
842	0.1197168258
843	0.1196533086
844	0.1195754671
845	0.119517077
846	0.1194156638
847	0.1193346393
848	0.1192438506
849	0.1191794027
850	0.119079024
851	0.1190078182
852	0.1189566147
853	0.1189023013
854	0.1188253239
855	0.1187665254
856	0.1186985295
857	0.1185953548
858	0.1185500248
859	0.1184285593
860	0.11833853
861	0.1182681364
862	0.118201288
863	0.1181441481
864	0.1181043924
865	0.1179894486
866	0.117932494
867	0.1178677627
868	0.1178001502
869	0.1177540145
870	0.117676674
871	0.1176125169
872	0.1175454925
873	0.1174707591
874	0.1174109177
875	0.1173327419
876	0.1172647775
877	0.1171455967
878	0.1170816563
879	0.1169965318
880	0.1168962448
881	0.1167672322
882	0.116694928
883	0.1166430457
884	0.1166080059
885	0.1165079227
886	0.1163707334
887	0.1162848837
888	0.116210681
889	0.1161600601
890	0.1160408653
891	0.1159522892
892	0.1158882099
893	0.1158452545
894	0.1157863271
895	0.1157537489
896	0.1157027131
897	0.1155846659
898	0.1155358472
899	0.1154401242
900	0.115329271
901	0.1152492106
902	0.1151940035
903	0.1151561103
904	0.115046187
905	0.1149550992
906	0.1149086606
907	0.114873455
908	0.1148449138
909	0.114769019
910	0.1147032245
911	0.1146479387
912	0.1145930743
913	0.1145008112
914	0.1144574279
915	0.1144195597
916	0.1143461034
917	0.1143149931
918	0.1142316394
919	0.1141887858
920	0.1141226487
921	0.1140534146
922	0.1139364898
923	0.1138709361
924	0.1138245577
925	0.1137784415
926	0.1136883252
927	0.1135868157
928	0.1135520259
929	0.1134835382
930	0.1133904176
931	0.1133223143
932	0.1132693503
933	0.1132117982
934	0.1130889444
935	0.1130155409
936	0.1129515505
937	0.1128529611
938	0.1127971011
939	0.1127014883
940	0.1125910676
941	0.1124916336
942	0.1124395716
943	0.1123599511
944	0.1123186006
945	0.1122815622
946	0.1122063593
947	0.112087623
948	0.1120465004
949	0.1119746268
950	0.1119250154
951	0.1118741796
952	0.1117592627
953	0.1117156414
954	0.1116606381
955	0.1115556834
956	0.1114537164
957	0.1113778513
958	0.1112490749
959	0.1111809994
960	0.1111048823
961	0.1110749815
962	0.1110235642
963	0.1109339026
964	0.1108360883
965	0.1107672219
966	0.110749194
967	0.1107138124
968	0.110624086
969	0.1105728418
970	0.1105399608
971	0.1104678232
972	0.1103989512
973	0.1103082116
974	0.1102045415
975	0.1101227094
976	0.110067456
977	0.1100405873
978	0.1099570104
979	0.1099030962
980	0.1098247786
981	0.109723535
982	0.1096552066
983	0.1095866523
984	0.1095572303
985	0.1095083338
986	0.1094275
987	0.1093845187
988	0.1092860571
989	0.1092532492
990	0.1091810274
991	0.1091259407
992	0.1090952324
993	0.1090072702
994	0.1089525012
995	0.10887942
996	0.1088171911
997	0.1087105175
998	0.1085647153
999	0.1084996154
